ID,title,description,price,rating,images,categoris_ID
342d3930-b50d-410e-aa41-f80bd43ccd1a,Luxury Leather Handbag,Crafted from premium Italian leather this handbag exudes elegance and sophistication. Features multiple compartments and a detachable strap for versatile styling,$250.00,4.8,https://www.lectra.com/sites/default/files/styles/645x365/public/2023-06/Capture%20d%E2%80%99e%CC%81cran%202023-06-14%20a%CC%80%2010.27.37.png?itok=2yNSUauA,0577b664-2013-4db2-b42e-41ab08e775af
60807871-2d8a-4b49-941c-7a10e669acac,Wireless Noise-Canceling Headphones,Immerse yourself in superior sound quality with these wireless headphones. Enjoy active noise cancellation technology for an uninterrupted listening experience,$199.99,4.9,https://cdn.thewirecutter.com/wp-content/media/2023/09/noise-cancelling-headphone-2048px-0876.jpg,2500fc29-8050-41d8-82c8-f8eb5ef24077
287b368b-2fdc-476e-875b-38e969860511,Organic Green Tea Extract,Harness the power of antioxidants with our organic green tea extract. Packed with health benefits it supports metabolism boosts immunity and promotes overall wellness,$15.99,4.7,https://m.media-amazon.com/images/I/812TDNSDIvL.jpg,b3b5bbde-b2b2-47b0-a09b-c6485f6197a4
b97dc0ef-2f94-49b4-9a52-ceea629f27f0,Professional Chef's Knife Set,Elevate your culinary skills with this high-quality knife set. Made from premium stainless steel these knives offer precision cutting and durability for all your cooking needs,$129.99,4.9,https://seidoknives.com/cdn/shop/products/SEIDOKnivesSignatureJapaneseMasterChefKnifeSet_8-piececulinaryknifesetmain.jpg?v=1663304893,7fc38b67-1550-4c31-80f6-1bde9eead2a8
38cc007c-07fa-4c97-a378-7bdf06d9ac31,Vintage Polaroid Camera,Capture memories in retro style with this vintage Polaroid camera. Featuring instant printing capabilities it's perfect for preserving special moments,$89.99,4.5,https://i.etsystatic.com/7755720/r/il/f2bf39/587787309/il_fullxfull.587787309_b30r.jpg,2500fc29-8050-41d8-82c8-f8eb5ef24077
be3c97b2-4421-4f90-a388-e1d20cac104e,Yoga Mat with Alignment Lines,Enhance your yoga practice with this premium yoga mat. Designed with alignment lines it helps improve posture and stability during poses,$39.99,4.6,https://liforme.com/cdn/shop/files/align_evolve_diagram-2_2048x.jpg?v=1613551168,0577b664-2013-4db2-b42e-41ab08e775af
46dfc4e3-702b-48c3-878c-c236b2c36086,Smart Home Security Camera,Keep your home safe and secure with this smart security camera. Features include motion detection two-way audio and night vision for round-the-clock monitoring,$79.99,4.8,https://i.ebayimg.com/images/g/bTsAAOSwTSxj~VF8/s-l1200.webp,7fc38b67-1550-4c31-80f6-1bde9eead2a8
db54324d-f830-431a-b25c-f1ce330a5a24,Classic Leather Oxford Shoes,Step out in style with these classic leather Oxford shoes. Crafted with premium materials and timeless design they're perfect for both formal and casual occasions,$149.99,4.7,https://m.media-amazon.com/images/I/51+Uja0oV+L._AC_UY900_.jpg,023857df-3159-4c17-b8ce-fafdc41b0ab9
ef56d48e-fefc-4a28-a2e2-11d50298d3b0,Portable External Battery Charger,Stay powered up on the go with this portable external battery charger. Compatible with smartphones and tablets it provides fast charging wherever you are,$29.99,4.6,https://m.media-amazon.com/images/I/61jC5fBRGOL.jpg,2500fc29-8050-41d8-82c8-f8eb5ef24077
d64fb5f0-2cc2-4b04-9713-f9b882ace053,Gourmet Chocolate Gift Box,Indulge your senses with our gourmet chocolate gift box. Handcrafted from the finest cocoa beans each piece offers a rich and decadent taste experience,$49.99,4.9,https://m.media-amazon.com/images/I/81jZWKisi+L.jpg,d49e5be8-6358-4a7c-9ef9-150bf889171b
0b220efd-43c1-46d0-b72d-0b32770b65eb,Stainless Steel Water Bottle,Stay hydrated in style with this sleek stainless steel water bottle. Double-wall insulation keeps drinks cold for up to 24 hours making it perfect for any adventure,$24.99,4.8,https://m.media-amazon.com/images/I/71wFyZlg58L.jpg,0c358eed-cc86-4d11-bfd0-5ff87d2c98f3
5e04acbf-3f19-4ca7-baef-ef0125d19cca,Aromatherapy Essential Oil Diffuser,Create a calming atmosphere with our aromatherapy essential oil diffuser. Features customizable LED lighting and whisper-quiet operation for relaxation anytime anywhere,$34.99,4.7,https://m.media-amazon.com/images/I/71nZ9I+OmbL.jpg,b102bdd7-7f1d-43fd-ac5f-e2c87ed99ca9
0a802020-b9cd-42f7-8f3d-b6cafaaaf645,Fitness Tracker Watch,Track your fitness goals with precision using this advanced fitness tracker watch. Monitor heart rate sleep patterns and activity levels for a healthier lifestyle,$79.99,4.6,https://cdn.thewirecutter.com/wp-content/media/2023/06/fitnesstrackers-2048px-09819-2x1-1.jpg?auto=webp&quality=75&crop=1.91:1&width=1200,0c358eed-cc86-4d11-bfd0-5ff87d2c98f3
d0a41602-ae74-43e5-a648-26cc489010b6,Vegetable Spiralizer,Transform your favorite vegetables into healthy noodles with our vegetable spiralizer. Compact and easy to use it's perfect for creating nutritious meals the whole family will love,$19.99,4.5,https://m.media-amazon.com/images/I/71EEtf+ajwL.jpg,7fc38b67-1550-4c31-80f6-1bde9eead2a8
5a0e6147-53ea-4216-8f65-cc5e0fba0f2b,Classic Wayfarer Sunglasses,Shield your eyes in style with these classic Wayfarer sunglasses. Featuring UV protection and timeless design they're a must-have accessory for sunny days,$69.99,4.8,https://images.ray-ban.com/is/image/RayBan/805289126577_shad_qt.png?impolicy=SEO_16x9,0577b664-2013-4db2-b42e-41ab08e775af
1ca5656b-3245-4805-8de7-c91b2ce91e82,Electric Toothbrush with UV Sanitizer,Maintain optimal oral hygiene with our electric toothbrush featuring a built-in UV sanitizer. Removes plaque and bacteria for a brighter healthier smile,$59.99,4.7,https://m.media-amazon.com/images/I/81WD1-F+1sL.jpg,8ba64bae-7afd-414d-ac66-ae1bfe836360
bf482718-9529-48cf-bf33-dec39fc937f0,Adjustable Dumbbell Set,Build strength and muscle tone with our adjustable dumbbell set. Compact and versatile it's ideal for home workouts and gym enthusiasts alike,$149.99,4.9,https://m.media-amazon.com/images/I/81-5vsFdaJL.jpg,0c358eed-cc86-4d11-bfd0-5ff87d2c98f3
79e0cd08-8d3e-4560-9ba1-1144b2142764,Handcrafted Ceramic Mug,Sip your favorite hot beverage in style with our handcrafted ceramic mug. Each piece is unique featuring intricate designs and durable construction for daily use,$12.99,4.6,https://i.etsystatic.com/25741304/r/il/96d3dd/2919764269/il_570xN.2919764269_2z2k.jpg,3b7ffc64-a5c5-4d4e-a29a-9545838d83d0
897e4bcc-b09b-4fe6-97cd-13b78e2b82a0,Memory Foam Travel Pillow,Travel in comfort with our memory foam travel pillow. Provides neck and head support during long journeys ensuring restful sleep wherever you go,$29.99,4.7,https://m.media-amazon.com/images/I/91wpGyZg-3L.jpg,db0cc826-60a4-48d3-9f9e-d6cfd5b12ee3
a77156df-404a-4b90-a4e5-aa49c54dd875,Bluetooth Speaker with LED Lights,Bring the party anywhere with our Bluetooth speaker featuring vibrant LED lights. Delivers crisp clear sound and customizable lighting effects for an immersive experience,$49.99,4.8,https://m.media-amazon.com/images/I/61IrobpRdeL.jpg,2500fc29-8050-41d8-82c8-f8eb5ef24077
